Categorized_Sexuality,Categorized_Gender,Drinking_Level,Education_Status
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Other
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Male,3,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,1,Other
Straight,Male,1,Some College
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Queer,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Other
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Some College
Questioining,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Bi_Pan,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Other
Straight,Male,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,,Other
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Highschool or GED
Straight,Male,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Other
Straight,Female,2,Some College
0,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,1,Some College
Queer,Female,2,Other
Straight,Female,,Bachelor's or higher
Straight,Male,2,Other
Straight,Female,1,Some College
Straight,Female,2,Some College
Queer,NonBinary,3,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,,Bachelor's or higher
Straight,Female,2,Other
Straight,Female,2,Some College
Bi_Pan,Female,2,Bachelor's or higher
Bi_Pan,Female,1,Bachelor's or higher
Straight,Male,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
0,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Bi_Pan,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Highschool or GED
Straight,Male,1,Bachelor's or higher
Straight,Male,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,3,Some College
Gay,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,3,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Some College
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Some College
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,1,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Questioining,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Male,1,Some College
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Queer,Female,2,Bachelor's or higher
Straight,Female,1,Highschool or GED
Bi_Pan,Female,2,Bachelor's or higher
Straight,Male,1,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Other
Straight,Male,1,Other
Straight,Female,3,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,1,Other
Straight,Male,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Some College
Gay,Male,2,Bachelor's or higher
Bi_Pan,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Other
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
0,Female,1,Some College
Straight,Male,1,Some College
Straight,Male,2,Bachelor's or higher
Queer,NonBinary,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Some College
Gay,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,NonBinary,2,Bachelor's or higher
Straight,Male,,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,1,Bachelor's or higher
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Gay,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Other
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Other
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Gay,Female,,Bachelor's or higher
Bi_Pan,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Other
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Queer,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,3,Bachelor's or higher
Straight,Male,2,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,2,Highschool or GED
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Gay,Female,,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Some College
Straight,Female,3,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Bi_Pan,Male,2,Bachelor's or higher
Gay,Female,2,Other
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Male,2,Other
Straight,Male,2,Bachelor's or higher
Gay,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
0,Female,2,Some College
Straight,Female,2,Some College
Straight,Male,2,Some College
Straight,Male,2,Some College
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,3,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,3,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Bi_Pan,Female,3,Bachelor's or higher
Straight,Male,2,Highschool or GED
Bi_Pan,NonBinary,2,Some College
Straight,Female,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Gay,Male,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,3,Some College
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Queer,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,,Other
Gay,Male,1,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Gay,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,3,Bachelor's or higher
Straight,Female,2,Other
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Male,1,Some College
Straight,Female,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Highschool or GED
Straight,Female,,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,3,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Other
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Gay,Male,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Some College
Straight,Male,1,Less than HS
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Male,1,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
0,Other,2,Some College
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Other
Straight,Female,1,Bachelor's or higher
Straight,Male,,Bachelor's or higher
Gay,Male,2,Highschool or GED
Straight,Male,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Gay,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,3,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Queer,Male,1,Some College
Straight,Female,2,Bachelor's or higher
Gay,Male,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Gay,Female,3,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,1,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Male,1,Highschool or GED
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
Straight,Male,1,Some College
Straight,Female,2,Some College
Straight,Female,,Some College
Straight,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Some College
Gay,Male,2,Other
Straight,Male,2,Bachelor's or higher
Straight,Female,1,Bachelor's or higher
Straight,Female,1,Some College
Bi_Pan,Female,2,Bachelor's or higher
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Some College
Straight,Female,2,Bachelor's or higher
Straight,Male,2,Bachelor's or higher
